iter	RMSE
0	11625.24034
1	11286.24012
2	10955.22114
3	10641.44692
4	10327.3812
5	10027.3016
6	9752.126241
7	9478.882258
8	9223.752835
9	8972.765115
10	8755.548815
11	8529.479742
12	8326.735798
13	8126.910738
14	7930.28106
15	7744.817784
16	7550.631239
17	7377.109159
18	7203.077224
19	7047.187652
20	6909.757101
21	6769.881671
22	6667.566593
23	6545.476849
24	6419.962256
25	6305.353699
26	6192.901452
27	6080.849061
28	6009.618098
29	5905.410626
30	5814.005781
31	5738.465193
32	5662.53635
33	5583.382314
34	5516.320677
35	5449.817404
36	5381.922159
37	5319.942558
38	5255.660341
39	5202.239177
40	5155.075458
41	5115.489032
42	5065.937996
43	5029.462876
44	4979.311777
45	4938.402936
46	4898.91087
47	4861.77473
48	4829.035635
49	4798.534382
50	4766.182611
51	4738.890309
52	4716.266667
53	4686.278895
54	4663.95877
55	4639.787081
56	4612.946619
57	4589.663355
58	4579.385443
59	4559.012916
60	4539.990655
61	4519.735145
62	4502.341808
63	4484.370297
64	4468.285941
65	4454.921144
66	4437.95422
67	4427.102765
68	4412.220908
69	4399.403034
70	4386.758286
71	4373.707666
72	4360.449533
73	4350.628072
74	4338.664311
75	4329.541551
76	4326.781432
77	4315.272898
78	4303.878086
79	4295.236434
80	4288.236237
81	4280.493727
82	4272.617281
83	4266.017961
84	4263.530875
85	4252.781309
86	4247.719684
87	4241.326764
88	4239.900325
89	4234.518383
90	4229.943893
91	4223.034795
92	4216.731007
93	4211.986487
94	4204.732674
95	4202.785013
96	4200.44659
97	4195.769041
98	4190.027082
99	4182.928883
100	4178.632184
101	4174.963091
102	4169.990605
103	4168.447219
104	4164.636943
105	4161.468396
106	4160.091639
107	4154.502813
108	4151.090203
109	4148.722419
110	4142.484807
111	4139.283322
112	4136.431646
113	4130.503895
114	4124.787946
115	4119.704267
116	4116.376536
117	4113.482889
118	4110.810387
119	4108.419472
120	4104.619895
121	4102.799569
122	4098.910567
123	4094.006466
124	4092.653552
125	4092.015654
126	4091.169283
127	4088.226433
128	4085.694214
129	4082.19721
130	4078.584744
131	4075.196939
132	4071.372346
133	4068.359064
134	4065.000288
135	4064.226475
136	4062.510726
137	4059.644269
138	4054.70727
139	4052.420135
140	4047.97814
141	4045.802315
142	4042.784056
143	4039.908179
144	4035.161398
145	4032.369851
146	4027.802973
147	4022.952946
148	4018.141686
149	4014.787736
150	4011.464521
151	4009.541854
152	4007.953872
153	4004.029199
154	4001.04115
155	3997.055543
156	3993.653284
157	3990.271704
158	3988.231702
159	3983.625952
160	3979.421022
161	3974.815517
162	3972.919265
163	3969.909788
164	3966.107241
165	3962.891503
166	3955.944678
167	3953.213202
168	3950.883947
169	3947.120057
170	3944.105017
171	3940.78355
172	3936.54164
173	3933.884088
174	3932.164516
175	3927.761161
176	3923.456574
177	3920.310561
178	3917.46104
179	3912.57327
180	3910.948063
181	3904.159852
182	3902.631959
183	3899.956702
184	3896.277135
185	3892.682453
186	3890.412877
187	3888.129272
188	3883.764993
189	3877.340979
190	3875.878777
191	3872.460077
192	3867.838936
193	3866.654679
194	3863.538216
195	3861.851089
196	3861.074573
197	3858.506167
198	3856.872002
199	3853.504241
200	3852.13873
201	3850.210392
202	3846.722196
203	3844.061471
204	3843.084156
205	3838.678234
206	3836.242395
207	3831.746528
208	3828.112758
209	3826.332924
210	3822.38659
211	3818.425933
212	3814.12938
213	3811.587057
214	3809.849994
215	3807.602044
216	3806.679866
217	3804.052895
218	3800.487783
219	3799.337742
220	3796.107006
221	3795.555028
222	3793.331664
223	3791.306405
224	3786.285209
225	3784.541957
226	3783.179638
227	3779.368114
228	3775.876163
229	3771.703885
230	3767.787006
231	3766.548842
232	3765.84312
233	3762.586134
234	3757.645799
235	3756.361543
236	3752.836328
237	3749.630594
238	3747.017265
239	3744.832651
240	3743.674386
241	3739.702347
242	3738.847273
243	3735.367071
244	3730.997942
245	3729.503626
246	3726.891011
247	3723.768864
248	3722.141321
249	3721.445764
250	3718.226433
251	3716.3976
252	3712.821006
253	3711.762593
254	3709.358607
255	3708.234763
256	3706.80719
257	3705.065208
258	3701.716042
259	3698.259846
260	3697.373423
261	3694.595938
262	3693.204861
263	3690.746458
264	3689.733624
265	3687.546645
266	3685.461723
267	3683.777333
268	3683.226136
269	3680.913461
270	3677.12878
271	3674.099291
272	3669.865331
273	3666.798185
274	3664.212464
275	3661.653124
276	3661.102874
277	3660.013083
278	3657.875606
279	3655.571848
280	3652.516667
281	3649.511636
282	3647.157445
283	3646.126663
284	3644.056085
285	3641.606774
286	3639.419983
287	3636.641931
288	3634.212301
289	3630.51686
290	3627.557759
291	3624.11239
292	3620.859512
293	3617.82008
294	3614.593499
295	3612.216739
296	3609.586923
297	3606.169268
298	3603.118594
299	3602.354912
300	3600.1081
301	3599.625763
302	3595.137012
303	3594.865683
304	3590.574271
305	3587.930502
306	3584.853028
307	3581.035239
308	3580.761074
309	3576.65719
310	3573.947564
311	3572.023411
312	3568.707321
313	3566.894894
314	3565.061573
315	3560.531587
316	3559.193364
317	3555.684312
318	3555.098809
319	3554.191899
320	3553.694326
321	3550.078398
322	3547.968142
323	3544.177388
324	3543.267044
325	3542.773613
326	3540.946738
327	3539.48688
328	3538.655578
329	3536.608191
330	3532.684216
331	3529.765668
332	3527.935078
333	3525.834655
334	3525.242882
335	3523.925731
336	3521.013719
337	3519.874267
338	3517.580794
339	3515.56145
340	3513.856373
341	3512.079659
342	3511.219515
343	3510.699424
344	3508.066627
345	3505.817191
346	3503.352358
347	3500.703606
348	3499.866303
349	3496.889868
350	3494.833247
351	3493.866399
352	3492.990437
353	3489.232714
354	3488.645791
355	3486.187197
356	3485.356228
357	3483.732386
358	3480.475759
359	3479.762251
360	3478.729366
361	3476.24534
362	3473.265749
363	3471.330308
364	3467.753441
365	3465.483192
366	3461.612463
367	3459.150877
368	3455.996825
369	3453.142333
370	3449.671896
371	3449.175757
372	3448.531776
373	3446.062522
374	3444.412682
375	3440.946295
376	3438.354058
377	3436.256341
378	3434.322818
379	3432.855933
380	3432.084457
381	3428.796964
382	3426.060537
383	3423.628174
384	3418.292736
385	3415.469293
386	3412.479267
387	3411.073742
388	3408.859304
389	3406.457116
390	3404.221375
391	3400.973359
392	3397.730328
393	3395.157677
394	3392.097518
395	3389.206995
396	3388.45389
397	3387.758117
398	3386.270471
399	3385.048431
400	3383.695439
